folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ECGFiveDays,0.9988385598141696,0.9616724738675958,0.9976771196283392,0.9976771196283392,0.9686411149825784,0.9790940766550522,0.9790940766550522,0.9907084785133565,1.0,0.9907084785133565,0.9872241579558653,0.9779326364692218,0.9512195121951219,0.9407665505226481,0.959349593495935,0.9976771196283392,0.9872241579558653,0.9988385598141696,0.9802555168408827,0.9849012775842044,0.9872241579558653,0.983739837398374,0.9384436701509872,0.9953542392566783,0.9988385598141696,0.9454123112659698,0.9291521486643438,0.9965156794425087,0.975609756097561,0.9965156794425087
ElectricDevices,0.739722474387239,0.8953443133186357,0.882116457009467,0.8854882635196473,0.8834133056672286,0.880560238620153,0.8860070029827519,0.8835429905330048,0.8791337050966153,0.8822461418752432,0.8910647127480223,0.8862663727143042,0.8839320451303333,0.8909350278822461,0.8884710154324991,0.8834133056672286,0.8928803008688886,0.8850992089223187,0.8839320451303333,0.8874335365062898,0.8788743353650629,0.8799118142912722,0.8858773181169758,0.8910647127480223,0.8871741667747374,0.8860070029827519,0.889249124627156,0.8891194397613799,0.8943068343924264,0.8849695240565426
EOGHorizontalSignal,0.5883977900552486,0.7237569060773481,0.7375690607734806,0.7348066298342542,0.7513812154696132,0.7486187845303868,0.7651933701657458,0.7209944751381215,0.7320441988950276,0.7790055248618785,0.7209944751381215,0.7292817679558011,0.7624309392265194,0.7348066298342542,0.7707182320441989,0.7734806629834254,0.7596685082872928,0.7430939226519337,0.7430939226519337,0.7486187845303868,0.7458563535911602,0.7762430939226519,0.7596685082872928,0.7375690607734806,0.7320441988950276,0.7182320441988951,0.7237569060773481,0.7403314917127072,0.7292817679558011,0.7458563535911602
EOGVerticalSignal,0.4889502762430939,0.7265193370165746,0.6961325966850829,0.7292817679558011,0.7182320441988951,0.7237569060773481,0.7154696132596685,0.7320441988950276,0.7403314917127072,0.7265193370165746,0.7099447513812155,0.7486187845303868,0.7237569060773481,0.7265193370165746,0.7320441988950276,0.712707182320442,0.7044198895027625,0.7348066298342542,0.7348066298342542,0.7154696132596685,0.7209944751381215,0.7486187845303868,0.712707182320442,0.712707182320442,0.7569060773480663,0.7596685082872928,0.7265193370165746,0.7099447513812155,0.712707182320442,0.7320441988950276
EthanolLevel,0.724,0.848,0.852,0.86,0.888,0.876,0.854,0.856,0.862,0.84,0.872,0.88,0.848,0.888,0.836,0.88,0.876,0.858,0.872,0.85,0.856,0.884,0.858,0.884,0.878,0.884,0.864,0.874,0.878,0.864
FaceAll,0.7461538461538462,0.9674556213017751,0.9573964497041421,0.9573964497041421,0.9644970414201184,0.9532544378698224,0.9656804733727811,0.9467455621301775,0.9727810650887574,0.9710059171597634,0.9633136094674556,0.9532544378698224,0.9591715976331361,0.9544378698224852,0.9656804733727811,0.9627218934911242,0.9668639053254438,0.9603550295857988,0.9627218934911242,0.9650887573964497,0.9585798816568047,0.9579881656804734,0.9615384615384616,0.9538461538461539,0.9710059171597634,0.9349112426035503,0.9573964497041421,0.9609467455621302,0.9556213017751479,0.9686390532544379
FaceFour,0.7386363636363636,0.75,0.8409090909090909,0.8636363636363636,0.7954545454545454,0.7613636363636364,0.7840909090909091,0.7954545454545454,0.7045454545454546,0.7159090909090909,0.6818181818181818,0.875,0.7613636363636364,0.7727272727272727,0.7045454545454546,0.8068181818181818,0.8068181818181818,0.7045454545454546,0.8409090909090909,0.7613636363636364,0.7954545454545454,0.7159090909090909,0.8181818181818182,0.7159090909090909,0.7159090909090909,0.8636363636363636,0.7045454545454546,0.7613636363636364,0.6818181818181818,0.7045454545454546
FacesUCR,0.9131707317073171,0.884390243902439,0.9107317073170732,0.9170731707317074,0.8941463414634147,0.9014634146341464,0.9185365853658537,0.8917073170731707,0.9131707317073171,0.8765853658536585,0.9170731707317074,0.8960975609756098,0.8902439024390244,0.9234146341463415,0.9175609756097561,0.9058536585365854,0.8990243902439025,0.8995121951219512,0.9297560975609757,0.9121951219512195,0.9292682926829269,0.9214634146341464,0.9248780487804878,0.9297560975609757,0.9180487804878049,0.9029268292682927,0.926829268292683,0.9151219512195122,0.9078048780487805,0.9253658536585366
FiftyWords,0.7494505494505495,0.7230769230769231,0.6989010989010989,0.7516483516483516,0.7450549450549451,0.7582417582417582,0.7472527472527473,0.7516483516483516,0.7604395604395604,0.7384615384615385,0.7450549450549451,0.7736263736263737,0.7406593406593407,0.7648351648351648,0.7362637362637363,0.7318681318681318,0.7142857142857143,0.7384615384615385,0.7736263736263737,0.7538461538461538,0.7604395604395604,0.7384615384615385,0.7516483516483516,0.7472527472527473,0.7406593406593407,0.7582417582417582,0.7582417582417582,0.778021978021978,0.7428571428571429,0.7494505494505495
Fish,0.9314285714285714,0.92,0.9542857142857143,0.9257142857142857,0.92,0.8628571428571429,0.9085714285714286,0.8857142857142857,0.9142857142857143,0.9142857142857143,0.8971428571428571,0.88,0.8971428571428571,0.9142857142857143,0.8857142857142857,0.9257142857142857,0.8857142857142857,0.9314285714285714,0.8971428571428571,0.9142857142857143,0.9142857142857143,0.8914285714285715,0.9428571428571428,0.9142857142857143,0.92,0.9085714285714286,0.9257142857142857,0.88,0.8971428571428571,0.8914285714285715
