folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Earthquakes,0.7482014388489209,0.7482014388489209,0.7553956834532374,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7553956834532374,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209
ECG200,0.91,0.91,0.91,0.91,0.9,0.93,0.85,0.88,0.92,0.92,0.91,0.87,0.89,0.88,0.92,0.92,0.86,0.92,0.91,0.87,0.87,0.88,0.85,0.92,0.91,0.9,0.89,0.94,0.88,0.94
ECG5000,0.9473333333333334,0.9466666666666667,0.9482222222222222,0.95,0.9457777777777778,0.9486666666666667,0.944,0.9426666666666667,0.9482222222222222,0.946,0.946,0.9442222222222222,0.9517777777777777,0.9495555555555556,0.9477777777777778,0.9493333333333334,0.9475555555555556,0.9504444444444444,0.9406666666666667,0.9508888888888889,0.9513333333333334,0.9482222222222222,0.9462222222222222,0.9462222222222222,0.9473333333333334,0.9473333333333334,0.9455555555555556,0.9464444444444444,0.9477777777777778,0.9471111111111111
ECGFiveDays,1.0,1.0,0.9976771196283392,0.9883855981416957,0.9930313588850174,0.9965156794425087,0.9965156794425087,1.0,1.0,1.0,1.0,1.0,0.9512195121951219,0.9860627177700348,0.9988385598141696,1.0,1.0,0.9976771196283392,1.0,0.9976771196283392,1.0,0.9965156794425087,1.0,1.0,1.0,0.9988385598141696,1.0,0.9965156794425087,1.0,0.9953542392566783
ElectricDevices,0.7261055634807418,0.8962521073790689,0.8922318765400078,0.8983270652314875,0.8976786409026066,0.8943068343924264,0.9020879263389963,0.8958630527817404,0.8972895863052782,0.8949552587213072,0.9063675269096096,0.8972895863052782,0.8988458046945922,0.897938010634159,0.8981973803657113,0.9007910776812346,0.9023472960705485,0.8988458046945922,0.9002723382181299,0.8976786409026066,0.8975489560368305,0.8998832836208015,0.9009207625470108,0.9004020230839062,0.901050447412787,0.9007910776812346,0.8825055116067955,0.8866554273116327,0.9050706782518481,0.9028660355336532
EOGHorizontalSignal,0.6519337016574586,0.8121546961325967,0.8314917127071824,0.8287292817679558,0.8370165745856354,0.8287292817679558,0.8176795580110497,0.7900552486187845,0.8149171270718232,0.8453038674033149,0.8232044198895028,0.8149171270718232,0.8149171270718232,0.8259668508287292,0.8370165745856354,0.8425414364640884,0.8093922651933702,0.7955801104972375,0.8314917127071824,0.8232044198895028,0.8232044198895028,0.8259668508287292,0.8176795580110497,0.8259668508287292,0.8232044198895028,0.8066298342541437,0.7928176795580111,0.8066298342541437,0.7955801104972375,0.8038674033149171
EOGVerticalSignal,0.5331491712707183,0.7762430939226519,0.7955801104972375,0.7762430939226519,0.787292817679558,0.7955801104972375,0.8093922651933702,0.7624309392265194,0.7734806629834254,0.7762430939226519,0.8038674033149171,0.8176795580110497,0.8038674033149171,0.8093922651933702,0.7845303867403315,0.7734806629834254,0.7679558011049724,0.7790055248618785,0.7983425414364641,0.7900552486187845,0.7651933701657458,0.8176795580110497,0.7762430939226519,0.7762430939226519,0.8011049723756906,0.7790055248618785,0.7762430939226519,0.8038674033149171,0.7845303867403315,0.7845303867403315
EthanolLevel,0.57,0.6,0.65,0.634,0.634,0.62,0.62,0.602,0.624,0.628,0.62,0.64,0.618,0.624,0.61,0.634,0.606,0.626,0.62,0.636,0.632,0.614,0.626,0.636,0.636,0.638,0.638,0.634,0.658,0.586
FaceAll,0.9467455621301775,0.991715976331361,0.9911242603550295,0.9905325443786982,0.9899408284023669,0.98698224852071,0.9899408284023669,0.9863905325443787,0.9899408284023669,0.9899408284023669,0.9911242603550295,0.9905325443786982,0.9923076923076923,0.9905325443786982,0.9893491124260355,0.9893491124260355,0.9863905325443787,0.98698224852071,0.9899408284023669,0.9899408284023669,0.9911242603550295,0.9846153846153847,0.9875739644970414,0.9875739644970414,0.9911242603550295,0.9905325443786982,0.9881656804733728,0.9911242603550295,0.9893491124260355,0.9899408284023669
FaceFour,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.8409090909090909,0.9545454545454546,0.9090909090909091,0.8863636363636364,0.9545454545454546,0.8977272727272727,0.875,0.9659090909090909,0.9886363636363636,0.9090909090909091,0.8977272727272727,0.9772727272727273,0.9659090909090909,0.8977272727272727,0.9318181818181818,0.8522727272727273,1.0,0.9090909090909091,0.8977272727272727,0.9659090909090909,0.9659090909090909,0.9431818181818182,0.9545454545454546,0.9431818181818182,0.8977272727272727,0.9204545454545454,0.8863636363636364
